DATE,INDEX,Turnover
24/04/2024,1937.95,915071.65
21/04/2024,1933.92,855252.1
18/04/2024,1912.45,883478.98
17/04/2024,1888.01,814775.73
16/04/2024,1907.67,834359.85
15/04/2024,1914.43,1102536
14/04/2024,1938.18,665399.81
11/04/2024,1933.05,1209047.64
10/04/2024,1965.37,699133.92
09/04/2024,1979.78,858993.47
08/04/2024,2000.87,1174187.32
07/04/2024,1968.34,466984.52
04/04/2024,1941.7,1372710.77
03/04/2024,1975.77,1035341.04
02/04/2024,1972.17,995490.81
01/04/2024,2006.1,461139.06
31/03/2024,2010.41,646609.45
28/03/2024,1998.25,2294956.27
27/03/2024,1998.73,1099610.05
26/03/2024,2005.29,1488333.2
25/03/2024,1998.4,1105215.17
21/03/2024,1979.46,1222446.43
20/03/2024,1962.38,895627.94
19/03/2024,1938.51,1009077.43
18/03/2024,1928.54,894192.26
17/03/2024,1906.74,390388.67
14/03/2024,1884.16,1452717.7
13/03/2024,1899.56,927609.31
12/03/2024,1903.45,1529881.16
11/03/2024,1913.78,823215.24
10/03/2024,1918.79,394623.92
07/03/2024,1939.44,1142305.85
06/03/2024,1954.66,612225.86
05/03/2024,1947.22,688916.39
04/03/2024,1960.69,937545.04
03/03/2024,1962.86,347842.75
29/02/2024,1947.07,1409779.96
28/02/2024,1929.64,946913.96
26/02/2024,1942.93,1265631.75
25/02/2024,1938.36,459469.16
22/02/2024,1914.51,1760326.89
21/02/2024,1893.04,1061435.51
20/02/2024,1899.46,1365859.94
19/02/2024,1898.67,711039.83
18/02/2024,1874.82,306088.24
15/02/2024,1862.12,854727.66
14/02/2024,1852.6,620753.7
13/02/2024,1853.14,1071128.99
12/02/2024,1842.94,619592.54
11/02/2024,1820.37,301163.52
08/02/2024,1831.55,673975.74
07/02/2024,1841.57,673825.8
06/02/2024,1837.41,1047282.63
05/02/2024,1819.17,713361.46
04/02/2024,1830.57,347934.35
01/02/2024,1817.83,2663206.44
31/01/2024,1830.82,1179232.67
30/01/2024,1839.55,830497.64
29/01/2024,1858.51,836391.7
28/01/2024,1838.92,383380.13
25/01/2024,1827.29,2011948.46
24/01/2024,1843.7,909011.99
23/01/2024,1832.4,890488.08
22/01/2024,1842.38,840604.73
21/01/2024,1842.95,270027.45
18/01/2024,1839.8,754739.55
17/01/2024,1805.5,850495.42
16/01/2024,1824.73,740257.47
15/01/2024,1848.05,439861.48
